higherGeography,materialSampleID,station_old,station
iSimangaliso Wetland Park,EE0373,bhanga_neck,Bhanga Neck
iSimangaliso Wetland Park,EE0374,sodwana_bay,Sodwana Bay
iSimangaliso Wetland Park,EE0375,mission_rock,Mission Rock
iSimangaliso Wetland Park,EE0376,mission_rock,Mission Rock
iSimangaliso Wetland Park,EE0378,mission_rock,Mission Rock
iSimangaliso Wetland Park,EE0379,ingwe_beach,Ingwe Beach
iSimangaliso Wetland Park,EE0380,bhanga_neck,Bhanga Neck
iSimangaliso Wetland Park,EE0381,ingwe_beach,Ingwe Beach
iSimangaliso Wetland Park,EE0382,ingwe_beach,Ingwe Beach
iSimangaliso Wetland Park,EE0383,st_lucia_lake,St Lucia Lake
iSimangaliso Wetland Park,EE0384,st_lucia_lake,St Lucia Lake
iSimangaliso Wetland Park,EE0385,st_lucia_lake,St Lucia Lake
iSimangaliso Wetland Park,EE0394,sodwana_bay,Sodwana Bay
iSimangaliso Wetland Park,EE0395,ingwe_beach,Ingwe Beach
iSimangaliso Wetland Park,EE0396,sodwana_bay,Sodwana Bay
iSimangaliso Wetland Park,EE0397,bhanga_neck,Bhanga Neck
iSimangaliso Wetland Park,EE0398,mission_rock,Mission Rock
iSimangaliso Wetland Park,EE0401,ingwe_beach,Ingwe Beach
iSimangaliso Wetland Park,EE0461,sodwana_bay,Sodwana Bay
