higherGeography,materialSampleID,station_old,station
Coiba National Park and its Special Zone of Marine Protection,EE0244,canales_de_afuero,Canales De Afuero
Coiba National Park and its Special Zone of Marine Protection,EE0245,isla_tortuga,Isla Tortuga
Coiba National Park and its Special Zone of Marine Protection,EE0246,granito_de_oro,Granito De Oro
Coiba National Park and its Special Zone of Marine Protection,EE0247,isla_tortuga,Isla Tortuga
Coiba National Park and its Special Zone of Marine Protection,EE0248,granito_de_oro,Granito De Oro
Coiba National Park and its Special Zone of Marine Protection,EE0249,granito_de_oro,Granito De Oro
Coiba National Park and its Special Zone of Marine Protection,EE0250,canales_de_afuero,Canales De Afuero
Coiba National Park and its Special Zone of Marine Protection,EE0254,oceanica,Oceanica
Coiba National Park and its Special Zone of Marine Protection,EE0255,oceanica,Oceanica
Everglades National Park,EE0386,captain,Captain
Everglades National Park,EE0387,whip_ray,Whip Ray
Everglades National Park,EE0388,north_eagle_key,North Eagle Key
Everglades National Park,EE0389,crocodile_dragover,Crocodile Dragover
Everglades National Park,EE0390,crocodile_dragover,Crocodile Dragover
Everglades National Park,EE0391,captain,Captain
Everglades National Park,EE0402,captain,Captain
Everglades National Park,EE0403,trout_creek,Trout Creek
Everglades National Park,EE0404,whip_ray,Whip Ray
Everglades National Park,EE0405,whip_ray,Whip Ray
Everglades National Park,EE0406,whip_ray,Whip Ray
Everglades National Park,EE0407,crocodile_dragover,Crocodile Dragover
Everglades National Park,EE0408,trout_creek,Trout Creek
Everglades National Park,EE0409,trout_creek,Trout Creek
Everglades National Park,EE0410,trout_creek,Trout Creek
Everglades National Park,EE0411,crocodile_dragover,Crocodile Dragover
Everglades National Park,EE0412,captain,Captain
Everglades National Park,EE0413,trout_creek,Trout Creek
Everglades National Park,EE0414,north_eagle_key,North Eagle Key
Everglades National Park,EE0415,north_eagle_key,North Eagle Key
Everglades National Park,EE0416,north_eagle_key,North Eagle Key
French Austral Lands and Seas,EE0001,amsterdam,Amsterdam
French Austral Lands and Seas,EE0002,ile_haute,Ile Haute
French Austral Lands and Seas,EE0003,baie_des_swains,Baie Des Swains
French Austral Lands and Seas,EE0004,amsterdam,Amsterdam
French Austral Lands and Seas,EE0005,armor,Armor
French Austral Lands and Seas,EE0006,baie_des_swains,Baie Des Swains
French Austral Lands and Seas,EE0007,armor,Armor
French Austral Lands and Seas,EE0008,suhm,Suhm
French Austral Lands and Seas,EE0010,baie_des_swains,Baie Des Swains
French Austral Lands and Seas,EE0011,suhm,Suhm
French Austral Lands and Seas,EE0013,ile_haute,Ile Haute
French Austral Lands and Seas,EE0015,ile_haute,Ile Haute
French Austral Lands and Seas,EE0016,armor,Armor
French Austral Lands and Seas,EE0017,amsterdam,Amsterdam
French Austral Lands and Seas,EE0018,ile_haute,Ile Haute
French Austral Lands and Seas,EE0019,amsterdam,Amsterdam
French Austral Lands and Seas,EE0020,suhm,Suhm
French Austral Lands and Seas,EE0021,suhm,Suhm
French Austral Lands and Seas,EE0022,baie_des_swains,Baie Des Swains
French Austral Lands and Seas,EE0087,armor,Armor
French Austral Lands and Seas,EE0127,amsterdam,Amsterdam
French Austral Lands and Seas,EE0147,ile_haute,Ile Haute
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0265,foccocara,Foccocara
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0301,ficaghjola,Ficaghjola
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0303,ficaghjola,Ficaghjola
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0304,elbu,Elbu
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0305,ficaghjola,Ficaghjola
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0306,ficaghjola,Ficaghjola
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0307,elbu,Elbu
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0308,foccocara,Foccocara
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0309,ficaccia,Ficaccia
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0310,foccocara,Foccocara
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0311,foccocara,Foccocara
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0312,ficaccia,Ficaccia
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0313,ficaghjola,Ficaghjola
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0314,ruzaghiu,Ruzaghiu
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0315,elbu,Elbu
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0316,foccocara,Foccocara
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0317,elbu,Elbu
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0318,elbu,Elbu
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0319,ficaghjola,Ficaghjola
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0320,ficaccia,Ficaccia
